可转债代码,可转债名称,换手率,date
123241,欧通转债,19.32,2024-12-06
113691,和邦转债,25.1,2024-12-06
123229,艾录转债,136.69,2024-12-06
111012,福新转债,99.74,2024-12-06
113021,中信转债,3.55,2024-12-06
123101,拓斯转债,2710.58,2024-12-06
128062,亚药转债,9.05,2024-12-06
127053,豪美转债,23.62,2024-12-06
123135,泰林转债,70.04,2024-12-06
110060,天路转债,396.43,2024-12-06
128083,新北转债,50.13,2024-12-06
128082,华锋转债,136.7,2024-12-06
113662,Z豪能转,3970.88,2024-12-06
110068,龙净转债,114.85,2024-12-06
123035,利德转债,24.55,2024-12-06
128090,汽模转2,242.02,2024-12-06
123237,佳禾转债,32.54,2024-12-06
113537,文灿转债,396.42,2024-12-06
113596,城地转债,72.86,2024-12-06
113030,东风转债,35.48,2024-12-06
123213,天源转债,23.2,2024-12-06
113044,大秦转债,3.0,2024-12-06
128109,楚江转债,37.59,2024-12-06
110058,永鼎转债,131.32,2024-12-06
113055,成银转债,3.47,2024-12-06
113050,南银转债,1.56,2024-12-06
113631,皖天转债,5.05,2024-12-06
113629,泉峰转债,5.87,2024-12-06
118026,利元转债,84.09,2024-12-06
113549,白电转债,11.47,2024-12-06
113685,升24转债,5.21,2024-12-06
127032,苏行转债,2.28,2024-12-06
123202,祥源转债,234.94,2024-12-06
113033,利群转债,22.08,2024-12-06
123131,奥飞转债,18.57,2024-12-06
113576,起步转债,10.82,2024-12-06
110074,精达转债,115.46,2024-12-06
123187,超达转债,21.68,2024-12-06
123163,金沃转债,841.47,2024-12-06
123228,震裕转债,12.78,2024-12-06
113546,迪贝转债,20.12,2024-12-06
118021,新致转债,938.22,2024-12-06
123249,英搏转债,8.1,2024-12-06
110079,杭银转债,0.92,2024-12-06
113663,新化转债,7.85,2024-12-06
127047,帝欧转债,6.77,2024-12-06
113532,海环转债,6.22,2024-12-06
123209,聚隆转债,45.71,2024-12-06
123238,卡倍转02,28.55,2024-12-06
123198,金埔转债,7.46,2024-12-06
127087,星帅转2,35.34,2024-12-06
128072,翔鹭转债,26.45,2024-12-06
127033,中装转2,78.76,2024-12-06
123141,宏丰转债,15.83,2024-12-06
113534,鼎胜转债,14.03,2024-12-06
123059,银信转债,589.12,2024-12-06
127092,运机转债,69.53,2024-12-06
123063,大禹转债,5.53,2024-12-06
123127,耐普转债,18.83,2024-12-06
118003,华兴转债,14.1,2024-12-06
113684,湘泵转债,43.22,2024-12-06
123211,阳谷转债,17.82,2024-12-06
123248,恒辉转债,255.49,2024-12-06
111019,宏柏转债,3.9,2024-12-06
113646,永吉转债,25.93,2024-12-06
123184,天阳转债,16.04,2024-12-06
113690,豪24转债,15.03,2024-12-06
123223,九典转02,35.0,2024-12-06
128130,景兴转债,4.03,2024-12-06
123177,测绘转债,117.98,2024-12-06
123191,智尚转债,15.52,2024-12-06
110077,洪城转债,3.86,2024-12-06
111011,冠盛转债,74.22,2024-12-06
123206,开能转债,10.1,2024-12-06
127061,美锦转债,3.22,2024-12-06
113569,科达转债,51.25,2024-12-06
128076,金轮转债,91.04,2024-12-06
113651,松霖转债,9.93,2024-12-06
123087,明电转债,12.47,2024-12-06
123190,道氏转02,11.23,2024-12-06
123203,明电转02,4.42,2024-12-06
123092,天壕转债,5.57,2024-12-06
123120,隆华转债,3.11,2024-12-06
110052,贵广转债,706.17,2024-12-06
123243,严牌转债,5.81,2024-12-06
127095,广泰转债,1.84,2024-12-06
123219,宇瞳转债,895.33,2024-12-06
127084,柳工转2,4.69,2024-12-06
128132,交建转债,2.68,2024-12-06
127050,麒麟转债,3.53,2024-12-06
127014,北方转债,11.04,2024-12-06
123089,九洲转2,9.58,2024-12-06
127055,精装转债,7.41,2024-12-06
113058,友发转债,1.48,2024-12-06
127051,博杰转债,15.67,2024-12-06
123160,泰福转债,12.25,2024-12-06
113524,奇精转债,28.12,2024-12-06
113668,鹿山转债,9.54,2024-12-06
128063,未来转债,413.26,2024-12-06
118030,睿创转债,5.03,2024-12-06
128066,亚泰转债,2.45,2024-12-06
123207,冠中转债,6.14,2024-12-06
123048,应急转债,19.76,2024-12-06
113582,火炬转债,11.58,2024-12-06
123022,长信转债,10.03,2024-12-06
118048,利扬转债,7.06,2024-12-06
118049,汇成转债,2.24,2024-12-06
123056,雪榕转债,6.58,2024-12-06
127019,国城转债,6.59,2024-12-06
111008,沿浦转债,6.79,2024-12-06
127075,百川转2,2.84,2024-12-06
123204,金丹转债,2.72,2024-12-06
123227,雅创转债,39.03,2024-12-06
111017,蓝天转债,4.44,2024-12-06
128133,奇正转债,1.98,2024-12-06
113588,润达转债,244.39,2024-12-06
123118,惠城转债,25.39,2024-12-06
123222,博俊转债,5.5,2024-12-06
123247,万凯转债,3.36,2024-12-06
127043,川恒转债,4.32,2024-12-06
127020,中金转债,1.65,2024-12-06
123149,通裕转债,5.78,2024-12-06
123025,精测转债,27.23,2024-12-06
127099,盛航转债,19.51,2024-12-06
127037,银轮转债,4.01,2024-12-06
123225,翔丰转债,4.54,2024-12-06
123112,万讯转债,15.27,2024-12-06
123103,震安转债,601.23,2024-12-06
110084,贵燃转债,2.75,2024-12-06
127104,姚记转债,118.54,2024-12-06
123054,思特转债,41.11,2024-12-06
110055,伊力转债,6.8,2024-12-06
123067,斯莱转债,117.76,2024-12-06
113615,金诚转债,16.64,2024-12-06
